dpr_id,dpr_start,dpr_end,dpr_target_hours,dpr_title,dpr_blockbefore,dpr_number,dpr_funding_rate,dpr_virtual,dpr_dow,lpc_id,du_id,update_timestamp,dpr_uuid
848,2025-01-01,2025-12-31,,EU-KONFORM-NovisGmbH-OneStage-Erfolgsbasiert-HORIZON-CL5-2026-02-D3-24,,720965,100,FALSE,,4,307,2025-08-07T10:27:44Z,1bd1c199-aae8-4aa2-9bae-16b32bc39d83
824,2025-06-01,2028-11-30,,FABULOSE,,720941,100,FALSE,,24,53,2025-10-15T07:02:50Z,2033f756-dc6e-4db1-ae3f-5a4bce202214
837,2025-01-01,2025-12-31,,EU-KONFORM-FullFlight-HOLISTIC-UpfrontFee-HORIZON-HLTH-2025-01-DISEASE-06,,720954,100,FALSE,,4,307,2025-07-10T09:53:28Z,a0f170be-b674-4525-8fa4-0833a0cf4cd0
821,2024-06-01,2024-12-31,,ExCo: SUCCESS FEE BioFibreLoop,,720938,100,FALSE,,20,145,2025-07-30T09:02:34Z,e718cb79-c2ee-40b5-99c3-6abb5569fb80
847,2025-01-01,2025-12-31,,Aerosolfd: ExCo 2025,,720964,100,FALSE,,20,54,2025-08-01T13:03:01Z,66c71c8c-1414-4c7c-8f4a-a538420388c8
803,2025-01-01,2025-12-31,,SUCCESS FEE: Circular-C,,720920,100,FALSE,,28,220,2025-08-06T12:51:06Z,a584881d-d160-4a97-9aca-827df1d6f4ee
849,2025-01-01,2025-12-31,,EVERY1: ExCo 2025,,720966,100,FALSE,,20,284,2025-08-08T07:35:45Z,6e42408e-141b-47e0-b592-0cd113e6c1b3
850,2025-01-01,2025-12-31,,IANUS: ExCo 2025,,720967,100,FALSE,,20,284,2025-08-08T07:36:44Z,6276adbc-9c40-44eb-ac68-d78cde8a3aed
852,2025-01-01,2025-12-31,,MOBILITIES: ExCo,,720969,100,FALSE,,20,284,2025-08-12T15:24:15Z,8e83b8ba-c903-436a-8377-e96930a34014
853,2025-01-01,2025-12-31,,AdminSupport_Only-NimbleEY3D-IKERLAN-One-stage-UpfrontFee-HORIZON-CL4-2025-04-DIGITAL-EMERGING-01,,720970,100,FALSE,,4,220,2025-08-20T15:46:58Z,8a255d0d-9216-413c-b527-d97f5a5ee9cf
854,2025-01-01,2025-12-31,,VisualsUpgrade-ReWind-SEC-IKE-One-stage-HORIZON-CL4-INDUSTRY-2025-01-MATERIALS-61_SE-C,,720971,100,FALSE,,4,220,2025-08-20T16:57:36Z,6e1fe90f-282c-4351-bb72-74cf081f07e1
855,2025-09-01,2025-09-30,,VisualsUpgrade-TiBeRIUM-SEC-IKE-One-stage-HORIZON-CL4-2025-INDUSTRY-MATERIALS-01-62,,720972,100,FALSE,,4,220,2025-09-08T08:56:00Z,098d8ab8-5adb-4a88-be44-e23ff34034f1
